state,state_code,district,indicator_no,indicator,nfhs5_value,nfhs4_value,change_nfhs4_to_nfhs5
Andaman and Nicobar Island,AN,North & Middle Andaman,81,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),30.4,47.3,-16.9
Andaman and Nicobar Island,AN,North & Middle Andaman,82,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),62.5,65.1,-2.6
Andaman and Nicobar Island,AN,North & Middle Andaman,83,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),,51.5,
Andaman and Nicobar Island,AN,North & Middle Andaman,84,84. All women age 15-49 years who are anaemic22 (%),62.1,64.7,-2.6
Andaman and Nicobar Island,AN,North & Middle Andaman,85,85. All women age 15-19 years who are anaemic22 (%),47.8,67.7,-19.9
Andaman and Nicobar Island,AN,North & Middle Andaman,86,86. Blood sugar level - high (141-160 mg/dl)23 (%),7.2,,
Andaman and Nicobar Island,AN,North & Middle Andaman,87,87. Blood sugar level - very high (>160 mg/dl)23 (%),6.4,,
Andaman and Nicobar Island,AN,North & Middle Andaman,88,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),16.7,,
Andaman and Nicobar Island,AN,North & Middle Andaman,89,89. Blood sugar level - high (141-160 mg/dl)23 (%),9.1,,
Andaman and Nicobar Island,AN,North & Middle Andaman,90,90. Blood sugar level - very high (>160 mg/dl)23 (%),6.9,,
Andaman and Nicobar Island,AN,North & Middle Andaman,91,91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),18.3,,
Andaman and Nicobar Island,AN,North & Middle Andaman,92,92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.4,,
Andaman and Nicobar Island,AN,North & Middle Andaman,93,93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.0,,
Andaman and Nicobar Island,AN,North & Middle Andaman,94,94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.4,,
Andaman and Nicobar Island,AN,North & Middle Andaman,95,95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),22.6,,
Andaman and Nicobar Island,AN,North & Middle Andaman,96,96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.0,,
Andaman and Nicobar Island,AN,North & Middle Andaman,97,97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),32.2,,
Andaman and Nicobar Island,AN,North & Middle Andaman,98,98. Ever undergone a screening test for cervical cancer (%),1.7,,
Andaman and Nicobar Island,AN,North & Middle Andaman,99,99. Ever undergone a breast examination for breast cancer (%),0.3,,
Andaman and Nicobar Island,AN,North & Middle Andaman,100,100. Ever undergone an oral cavity examination for oral cancer (%),15.8,,
Andaman and Nicobar Island,AN,North & Middle Andaman,101,101. Women age 15 years and above who use any kind of tobacco (%),46.8,,
Andaman and Nicobar Island,AN,North & Middle Andaman,102,102. Men age 15 years and above who use any kind of tobacco (%),70.5,,
Andaman and Nicobar Island,AN,North & Middle Andaman,103,103. Women age 15 years and above who consume alcohol (%),5.1,,
Andaman and Nicobar Island,AN,North & Middle Andaman,104,104. Men age 15 years and above who consume alcohol (%),45.3,,
Andaman and Nicobar Island,AN,South Andaman,1,1. Female population age 6 years and above who ever attended school (%),84.7,85.8,-1.1
Andaman and Nicobar Island,AN,South Andaman,2,2. Population below age 15 years (%),21.0,24.2,-3.2
Andaman and Nicobar Island,AN,South Andaman,3,"3. Sex ratio of the total population (females per 1,000 males)",967.0,989.0,-22.0
Andaman and Nicobar Island,AN,South Andaman,4,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",935.0,794.0,141.0
Andaman and Nicobar Island,AN,South Andaman,5,5. Children under age 5 years whose birth was registered with the civil authority (%),96.5,97.0,-0.5
Andaman and Nicobar Island,AN,South Andaman,6,6. Deaths in the last 3 years registered with the civil authority (%),92.2,,
